zone,citi_id
1,4031742
1,4034821
1,4032623
1,4032402
1,4032243
1,4032420
1,4031574
1,4035335
1,4035236
1,4035345
1,4035019
1,4034908
1,4034903
1,4035413
1,5881347
1,5881442
1,5881224
1,5881192
1,5881576
1,5880828
1,4036284
1,5861117
1,5877208
1,5870133
1,5866726
1,5880568
1,4035715
1,5849164
1,5855631
1,5855644
1,5855028
1,5847662
1,5850181
1,5852602
1,5849616
1,5849346
1,5852676
1,7262802
1,5850248
1,5855629
1,5854469
1,5848280
1,5857121
1,5850511
1,5854189
1,5850492
1,5851349
1,7262761
1,5850554
1,7262790
1,5855073
1,5855070
1,5853965
1,7262791
1,5854718
1,5854686
1,5855051
1,5851030
1,5854717
1,5856563
1,5852275
1,7262713
1,5854530
1,5856430
1,5855319
1,5855327
1,5856195
1,5856516
1,5847207
1,5855847
1,5848189
1,5850966
1,7262734
1,5847486
1,5854532
1,5854535
1,5854171
1,5855420
1,5852824
1,5853992
1,5854857
1,5847387
1,5850027
1,5855741
1,5860695
1,5849718
1,5848652
1,5850059
1,5854173
1,5856852
1,5849996
1,7262771
1,7262796
1,5854354
1,5854496
1,5880054
1,5857264
1,7262717
1,5855815
1,5847504
1,5847746
1,7262725
1,5856050
1,5856094
1,5848956
1,5854421
1,5854410
1,5854571
1,5847411
1,5849297
1,5851942
1,5852697
1,5850616
1,7262697
1,5854471
1,5853971
1,5856111
1,5851253
1,5855927
1,5855803
1,5848891
1,5851821
1,5857040
1,5855809
1,5855818
1,5855802
1,4033077
1,4034551
2,5866583
2,5879403
2,5864145
2,4033205
2,5862590
2,5865702
2,5874678
2,5869956
2,5866063
2,5872730
2,5875173
2,5870441
2,4034438
2,4033958
2,4034741
2,4033514
2,4033779
2,4034561
2,4034005
2,4033936
2,4033951
2,4033838
2,4034636
2,4033910
2,5879400
2,5878102
2,5880661
2,5864312
2,5868651
2,7262897
2,4034307
2,4034022
2,4033566
2,4033356
2,4033295
2,4033094
2,4034745
2,4033792
2,4033557
2,5873776
2,5880147
2,5877641
2,5875796
2,7262905
2,5862727
2,7262861
2,5871146
2,5858289
2,5861769
2,5859699
2,5861897
2,5879898
2,5872126
2,5870294
2,7262854
2,5877389
2,5859888
2,7262847
2,5557293
2,6180550
2,5554072
2,5983607
2,5556338
2,5554428
